"id","name","name_ru","_development_hint_ru"
1,"Piercing","Колющий","Копьё Пика Рапира Шпага Трезубец Лук Арбалет Дротики Меч(колющий)"
2,"Blunt","Дробящий","Булава Палица Боевой молот Моргенштерн "
3,"Cutting","Режущий","Сабля Ятаган Катана Скимитар Боевой веер Коса Бумеранг Чакрам Меч(режущий)"
4,"Chopping","Рубящий","Топор Секира Бердыш Алебарда"
5,"Force","Силовой","Проявления: Волшебные стрелы (Magic Missile), телекинетические удары, невидимые клинки силы.

Уязвимы: Призраки, астральные существа (иногда).

Устойчивы/Иммунны: Практически нет, это ""чистая"" магическая энергия.

Особенность: Редко имеет сопротивление. Наносит чистый, не-элементальный магический урон. Часто не может быть отражен или заблокирован обычным щитом, только магическими средствами. Может отбрасывать цели."
6,"Fire","Огненный","Проявления: Огненные шары, пламя дракона, горение.

Уязвимы: Духи льда, растения, нежить (часто), насекомые, ледяные элементали.

Устойчивы/Иммунны: Демоны, огненные элементали, лавовые големы, красные драконы.

Особенность: Часто накладывает эффект горения (DoT), может разрушать ледяные преграды, поджигать местность. Противоположен Ледяному.

"
7,"Frost","Ледяной","Проявления: Ледяные стрелы, стужа, обморожение, ледяная тюрьма.

Уязвимы: Огненные существа, драконы, рептилии, лавовые големы.

Устойчивы/Иммунны: Ледяные элементали, белые драконы, арктические существа.

Особенность: Часто накладывает эффект замедления или оковы (обездвиживания). Может создавать ледяной наст на воде. Противоположен Огненному."
8,"Electric","Электрический","Проявления: Молнии, электрические разряды, шок, громовые волны.

Уязвимы: Механизмы (роботы, големы), существа в металлической броне, водные/слизневые существа (проводят ток).

Устойчивы/Иммунны: Воздушные элементали, существа из изоляционных материалов (камень, дерево — не всегда).

Особенность: Высокий шанс наложить эффект стана (паралич, оглушение). Урон может цепляться на несколько ближайших целей. Часто игнорирует часть брони."
9,"Poison","Ядовитый","Проявления: Ядовитые облака, укусы, отравленные клинки, токсичные выбросы.

Уязвимы: Органические, живые существа (люди, звери, растения).

Устойчивы/Иммунны: Нежить, конструкты, каменные/земляные элементали, ядовитые сами по себе монстры (гигантские пауки, скорпионы).

Особенность:* Практически всегда наносит урон по времени (Damage over Time - DoT). Может накладывать ослабляющие эффекты (снижение характеристик, замедление регенерации)."
10,"Sonic","Звуковой","Проявления: Разрушительный рёв, ударная звуковая волна, резонанс, разрыв барабанных перепонок, крик банши, звуковые пушки.

Уязвимы: Стеклянные/хрустальные существа, конструкции с хрупкими элементами, существа с тонким слухом (летучие мыши, эльфы). Механизмы (может нарушить работу).

Устойчивы/Иммунны: Глухие существа, каменные/земляные големы (плохо проводят звук), существа из вакуума/космоса, призраки (иногда).

Особенность: Часто игнорирует физическую броню (звук проходит сквозь пластины) и магическую защиту. Имеет высокий шанс наложить дебаффы: оглушение, дезориентация, снижение точности, развеивание иллюзий/невидимости. Может активировать хрупкие механизмы или разрушать звуковые барьеры. В тихих локациях (подземелья) может привлекать других врагов."
11,"Light","Световой","Проявления: Божественный гнев, очищающий свет, заклинания жрецов и паладинов, освящённое оружие.

Уязвимы: Нежить (зомби, скелеты, призраки, вампиры), демоны/исчадия, существа Тьмы и Хаоса.

Устойчивы/Иммунны: Ангелы, святые существа, некоторые нейтральные духи природы.

Особенность: Часто прерывает концентрацию магов, изгоняет/отпугивает нежить, наносит увеличенный/критический урон к уязвимым типам. Может накладывать ослепление."
12,"Necrotic","Некротический","Проявления: Энергия смерти, вампиризм (кража HP), проклятия, теневая магия.

Уязвимы: Живые существа (подрывает жизненную силу), святые существа (иногда).

Устойчивы/Иммунны: Нежить (часто её лечит или не вредит), демоны Тени, существа Смерти.

Особенность: Может накладывать эффекты снижения максимального запаса здоровья, запрета на лечение (анти-хил), страха или ослабления. Противоположен Священному."
13,"Telepathic","Телепатический","Проявления: Взрыв разума, телепатическое копье, ментальные тиски, навязывание невыносимых мыслей, иллюзии, причиняющие реальную боль, атаки по сновидениям.

Уязвимы: Все разумные существа (люди, эльфы, орки, драконы). Особенно те, кто обладает высоким интеллектом, но слабой силой воли.

Устойчивы/Иммунны: Конструкты, големы, неразумная нежить (зомби, скелеты), животные/звери с примитивным интеллектом, берсеркеры/дикари (их разум хаотичен и защищен яростью), роботы, некоторые демоны пустоты.

Особенность: Почти всегда игнорирует физическую броню и магическую защиту (зависит от сопротивления ментальным эффектам/силе воли). Реже наносит чистый урон, чаще накладывает мощнейшие контроль-эффекты: страх, очарование, сон, паралич, безумие, взятие под контроль. Может снижать характеристики (Интеллект, Мудрость, Харизму). Не оставляет физических ран."
14,"Acid","Кислотный","Проявления: Плевки кислотой, едкие пары, растворяющие жидкости.

Уязвимы: Существа с хитиновым/металлическим панцирем, механизмы, бронированные цели.

Устойчивы/Иммунны: Слизни, кислотные элементали, аморфные существа.

Особенность: Часто снижает защиту (броню) цели на время или игнорирует её часть. Может наносить урон предметам/снаряжению."
15,"Chaos","Хаотический","Проявления: Нестабильная энергия хаоса, смесь стихий, дикая магия.

Уязвимы: Существа Закона и Порядка (дэвы, механикусы).

Устойчивы/Иммунны: Демоны Бездны, хаотические элементали.

Особенность: Часто игнорирует фиксированный процент всех сопротивлений (например, 50% урона проходит всегда) или имеет шанс наложить случайный негативный эффект. Непредсказуем."
16,"Pure","Чистый","Проявления: Божественная кара, нарушение законов реальности, урон из самого ""кода"" вселенной, абсолютное расщепление материи, хирургически точное уничтожение без эффектов.

Уязвимы: ВСЕ. По определению.

Устойчивы/Иммунны: НИКТО. По определению. (Хотя могут быть исключения в виде уникальных божественных артефактов или ""сюжетная неуязвимость"").

Особенность: Игнорирует ВСЕ виды защиты, сопротивления, иммунитеты, поглощения и снижения урона. Наносит ровно то количество урона, которое указано. Это последний аргумент в игровом балансе. Крайне редок, обычно доступен через:

Ультимативные способности с долгим откатом.

Легендарные/божественные артефакты.

Способности, срабатывающие при выполнении сложных условий (например, при HP противника ниже 5%).

Как механика для определенных типов врагов (например, урон от падения в бездну или ""неизбежная"" атака босса)."
